Time,pro,kon
1881,0x7d90938c9Fe235eF80AcCe10A7f06112d95b89f2,0xa239A1C05AD5Cb0D2fdC5D5381D0014C3ee297a9
1614692743.1853893,0.0,0.0
1614692743.389579,0.0,0.0
1614692743.5932484,0.0,0.0
1614692743.7968729,0.0,0.0
1614692744.0002167,0.0,0.0
1614692744.2038324,0.0,0.0
1614692744.4106002,0.0,0.0
1614692744.6162114,0.0,0.0
1614692744.8218434,0.0,0.0
1614692745.0276155,0.0,0.0
1614692745.2338119,0.0,0.0
1614692745.4394085,0.0,0.0
1614692745.6457922,0.0,0.0
1614692745.852646,0.0,0.0
1614692746.0592716,0.0,0.0
1614692746.266504,0.0,0.0
1614692746.4723995,0.0,0.0
1614692746.6782153,0.0,0.0
1614692746.8823297,0.0,0.0
1614692747.0862753,0.0,0.0
1614692747.2899652,0.0,0.0
1614692747.4937525,0.0,0.0
1614692747.6993906,0.0,0.0
1614692747.9047084,0.0,0.0
1614692748.1081493,0.0,0.0
1614692748.3118277,0.0,0.0
1614692748.515333,0.0,0.0
1614692748.7187865,0.0,0.0
1614692748.924866,0.0,0.0
1614692749.1307228,0.0,0.0
1614692749.3361619,0.0,0.0
1614692749.5425463,0.0,0.0
1614692749.7481165,0.0,0.0
1614692749.9555159,0.0,0.0
1614692750.1596134,0.0,0.0
1614692750.3639402,0.0,0.0
1614692750.5677657,0.0,0.0
1614692750.7721949,0.0,0.0
1614692750.9762716,0.0,0.0
1614692751.1808379,0.0,0.0
1614692751.3851602,0.0,0.0
1614692751.589421,0.0,0.0
1614692751.793783,0.0,0.0
1614692751.9979002,0.0,0.0
1614692752.2023566,0.0,0.0
1614692752.406755,0.0,0.0
1614692752.6111095,0.0,0.0
1614692752.815788,0.0,0.0
1614692753.022394,0.0,0.0
1614692753.2261024,5.986,0.0
1614692753.4298596,11.432,0.0
1614692753.635148,1.6320000000000001,0.0
1614692753.8410966,2.2640000000000002,0.0
1614692754.0461686,9.712,0.0
1614692754.251153,0.0,0.0
1614692754.4562466,1.092,0.0
1614692754.661308,1.0,0.0
1614692754.867171,6.268,0.0
1614692755.071317,10.082,0.0
1614692755.2755442,0.8220000000000001,0.0
1614692755.4791918,7.688,0.0
1614692755.684195,9.562,0.0
1614692755.8906052,0.9560000000000001,0.0
1614692756.20214,3.122,0.0
1614692756.4055717,0.462,0.0
1614692756.609199,8.254,0.0
